name,nationality,sport,gold,silver,bronze,total
Ahmed Saad,EGY,weightlifting,0,0,0,0
Ahmed Shaban,EGY,shooting,0,0,0,0
Ahmet Li,TUR,table tennis,0,0,0,0
Ahmet Orken,TUR,cycling,0,0,0,0
Ahreum Na,KOR,cycling,0,0,0,0
Ahymara Espinoza,VEN,athletics,0,0,0,0
Ai Fukuhara,JPN,table tennis,0,0,1,1
Ai Kondo Yoshida,JPN,sailing,0,0,0,0
Ai Ueda,JPN,triathlon,0,0,0,0
Ai Wen Yu,TPE,shooting,0,0,0,0
Aiaal Lazarev,KGZ,wrestling,0,0,0,0
Aichen Wang,CHN,sailing,0,0,0,0
Aida Fall,SEN,basketball,0,0,0,0
Aida Mohamed,HUN,fencing,0,0,0,0
Aida Roman,MEX,archery,0,0,0,0
Aida Shanaeva,RUS,fencing,0,0,0,0
Aidan Roach,AUS,aquatics,0,0,0,0
Aika Hakoyama,JPN,aquatics,0,0,1,1
Aikaterini Nikolaidou,GRE,rowing,0,0,0,0
Aikaterini-Maria Kontochristopoulou,GRE,fencing,0,0,0,0
Aiko Hayashi,JPN,aquatics,0,0,1,1
Aiko Sugihara,JPN,gymnastics,0,0,0,0
Aileen Reid,IRL,triathlon,0,0,0,0
Ailen Valente,ARG,gymnastics,0,0,0,0
Ailly Luciano,NED,handball,0,0,0,0
Ailun Guo,CHN,basketball,0,0,0,0
Aimee Fisher,NZL,canoe,0,0,0,0
Aimee Willmott,GBR,aquatics,0,0,0,0
Aina Cid I Centelles,ESP,rowing,0,0,0,0
Ainhoa Hernandez,ESP,handball,0,0,0,0
Ainhoa Murua,ESP,triathlon,0,0,0,0
Ainur Yesbergenova,KAZ,taekwondo,0,0,0,0
Airi Hatakeyama,JPN,gymnastics,0,0,0,0
Airine Palsyte,LTU,athletics,0,0,0,0
Aisen Chen,CHN,aquatics,2,0,0,2
Aisha Praught,JAM,athletics,0,0,0,0
Aislin Jones,AUS,shooting,0,0,0,0
Aisuluu Tynybekova,KGZ,wrestling,0,0,0,0
Aitor Martinez Rodriguez,ESP,aquatics,0,0,0,0
Aivi Luik,AUS,football,0,0,0,0
Ajee Wilson,USA,athletics,0,0,0,0
Ajla del Ponte,SUI,athletics,0,0,0,0
Ajna Kesely,HUN,aquatics,0,0,0,0
Akalani Baravilala,USA,rugby sevens,0,0,0,0
Akane Kuroki,JPN,equestrian,0,0,0,0
Akane Shibata,JPN,hockey,0,0,0,0
Akane Yamaguchi,JPN,badminton,0,0,0,0
Akani Simbine,RSA,athletics,0,0,0,0
Akashdeep Singh,IND,hockey,0,0,0,0
Akeem Haynes,CAN,athletics,0,0,1,1
Akela Jones,BAR,athletics,0,0,0,0
Aki Mitsuhashi,JPN,hockey,0,0,0,0
Aki Yazawa,JPN,canoe,0,0,0,0
Akihiko Nakamura,JPN,athletics,0,0,0,0
Akiko Sato,JPN,shooting,0,0,0,0
Akira Ioane,NZL,rugby sevens,0,0,0,0
Akira Yanase,JPN,aquatics,0,0,0,0
Akossiwa Claire Ayivon,TOG,rowing,0,0,0,0
Akua Obeng-Akrofi,GHA,athletics,0,0,0,0
Alaa Ali,IRQ,football,0,0,0,0
Alaaeldin Abouelkassem,EGY,fencing,0,0,0,0
Alade Aminu,NGR,basketball,0,0,0,0
Alain Sign,GBR,sailing,0,0,0,0
Alan Campbell,GBR,rowing,0,0,0,0
Alan Hatherly,RSA,cycling,0,0,0,0
Alan Sinclair,GBR,rowing,0,0,0,0
Alan Sothern,IRL,hockey,0,0,0,0
Alana Barber,NZL,athletics,0,0,0,0
Alana Boyd,AUS,athletics,0,0,0,0
Alanna Kennedy,AUS,football,0,0,0,0
Alastair Brogdon,GBR,hockey,0,0,0,0
Alba Torrens,ESP,basketball,0,1,0,1
Albachir Mouctar,NIG,aquatics,0,0,0,0
Albane Valenzuela,SUI,golf,0,0,0,0
Albert Espanol Lifante,ESP,aquatics,0,0,0,0
Albert Gaun,RUS,taekwondo,0,0,0,0
Albert Hermoso Farras,ESP,equestrian,0,0,0,0
Albert Kibichii Rop,BRN,athletics,0,0,0,0
Albert Puig Garrich,ESP,aquatics,0,0,0,0
Albert Ramon Ramirez,VEN,boxing,0,0,0,0
Albert Ramos-Vinolas,ESP,tennis,0,0,0,0
Albert Saritov,ROU,wrestling,0,0,1,1
Albert Selimov,AZE,boxing,0,0,0,0
Albert Subirats,VEN,aquatics,0,0,0,0
Alberth Bravo,VEN,athletics,0,0,0,0
Alberth Elis,HON,football,0,0,0,0
Albertina Cruz Kassoma,ANG,handball,0,0,0,0
Alberto Alvarez,MEX,athletics,0,0,0,0
Alberto Ezequiel Melian,ARG,boxing,0,0,0,0
Alberto Fernandez,ESP,shooting,0,0,0,0
Alberto Ignacio Palmetta,ARG,boxing,0,0,0,0
Alberto Munarriz Egana,ESP,aquatics,0,0,0,0
Alberto Ricchetti,ITA,canoe,0,0,0,0
Albin Lagergren,SWE,handball,0,0,0,0
Albina Shakirova,RUS,shooting,0,0,0,0
Aldemir da Silva Junior,BRA,athletics,0,0,0,0
Aldo Montano,ITA,fencing,0,0,0,0
Alec Potts,AUS,archery,0,0,1,1
Aleixo-Platini Menga,GER,athletics,0,0,0,0
Alejandra Betancur,COL,rugby sevens,0,0,0,0
Alejandra Garza Garza,MEX,weightlifting,0,0,0,0
Alejandra Jhonay Benitez Romero,VEN,fencing,0,0,0,0
Alejandra Llaneza,MEX,golf,0,0,0,0
Alejandra Orozco,MEX,aquatics,0,0,0,0
Alejandra Ortega,MEX,athletics,0,0,0,0
Alejandra Quereda,ESP,gymnastics,0,1,0,1
Alejandra Teran,MEX,fencing,0,0,0,0
Alejandra Valencia,MEX,archery,0,0,0,0
Alejandra Zavala Vazquez,MEX,shooting,0,0,0,0
Alejandro Enrique Valdes Tobier,CUB,wrestling,0,0,0,0
Alejandro Foglia Costa,URU,sailing,0,0,0,0
Alejandro Valverde Belmonte,ESP,cycling,0,0,0,0
Aleksandar Aleksandrov,AZE,rowing,0,0,0,0
Aleksandar IVOVIC,MNE,aquatics,0,0,0,0
Aleksandar Karakasevic,SRB,table tennis,0,0,0,0
Aleksandar Kukolj,SRB,judo,0,0,0,0
Aleksandar Nikolov,BUL,aquatics,0,0,0,0
