name,nationality,sport,gold,silver,bronze,total
Lynda Kiejko,CAN,shooting,0,0,0,0
Lynda Morales,PUR,volleyball,0,0,0,0
Lyndal Oatley,AUS,equestrian,0,0,0,0
Lynett Mutokuto,ZIM,football,0,0,0,0
Lynique Prinsloo,RSA,athletics,0,0,0,0
Lynn Symansky,USA,equestrian,0,0,0,0
Lynsey Sharp,GBR,athletics,0,0,0,0
Lyubomira Kazanova,BUL,gymnastics,0,0,1,1
Lyubov Shutova,RUS,fencing,0,0,1,1
M Bar N Diaye,FRA,taekwondo,0,0,0,0
Maaike Head,NED,rowing,1,0,0,1
Maarten Brzoskowski,NED,aquatics,0,0,0,0
Maartje Paumen,NED,hockey,0,1,0,1
Maayan Davidovich,ISR,sailing,0,0,0,0
Macarena Aguilar,ESP,handball,0,0,0,0
Macarena Gandulfo,ARG,handball,0,0,0,0
Macarena Sans,ARG,handball,0,0,0,0
Machel Cedenio,TTO,athletics,0,0,0,0
Maciej Bodnar,POL,cycling,0,0,0,0
Maciej Okreglak,POL,canoe,0,0,0,0
Maciej Sarnacki,POL,judo,0,0,0,0
Mack Darragh,CAN,aquatics,0,0,0,0
Mack Horton,AUS,aquatics,1,0,0,1
Mackenzie Arnold,AUS,football,0,0,0,0
Mackenzie Brown,USA,archery,0,0,0,0
Madai Perez,MEX,athletics,0,0,0,0
Madalina Beres,ROU,rowing,0,0,1,1
Madara Palameika,LAT,athletics,0,0,0,0
Maddie Hinch,GBR,hockey,1,0,0,1
Maddison Keeney,AUS,aquatics,0,0,1,1
Madelein Meppelink,NED,volleyball,0,0,0,0
Madeleine Edmunds,AUS,rowing,0,0,0,0
Madeline Dirado,USA,aquatics,2,1,1,4
Madeline Groves,AUS,aquatics,0,2,0,2
Madeline Heiner Hills,AUS,athletics,0,0,0,0
Madeline Musselman,USA,aquatics,1,0,0,1
Madiea Ghafoor,NED,athletics,0,0,0,0
Madison Hughes,USA,rugby sevens,0,0,0,0
Madison Keys,USA,tennis,0,0,0,0
Madison Kocian,USA,gymnastics,1,1,0,2
Madison Wilson,AUS,aquatics,1,1,0,2
Madonna Blyth,AUS,hockey,0,0,0,0
Mads Christiansen,DEN,handball,1,0,0,1
Mads Glaesner,DEN,aquatics,0,0,0,0
Mads Hendeliowitz,SWE,equestrian,0,0,0,0
Mads Mensah Larsen,DEN,handball,1,0,0,1
Mads Rasmussen,DEN,rowing,0,0,0,0
Mael Ambonguilat,GAB,aquatics,0,0,0,0
Magaly Bonilla,ECU,athletics,0,0,0,0
Magda Alfredo Cazanga,ANG,handball,0,0,0,0
Magda Linette,POL,tennis,0,0,0,0
Magdalena Eriksson,SWE,football,0,1,0,1
Magdalena Fularczyk-Kozlowska,POL,rowing,1,0,0,1
Magdalena Garro,ARG,canoe,0,0,0,0
Magdalena Lobnig,AUT,rowing,0,0,0,0
Magdalena Ruth Alex Moshi,TAN,aquatics,0,0,0,0
Magdiel Estrada,CUB,judo,0,0,0,0
Maggie Hogan,USA,canoe,0,0,0,0
Maggie Malone,USA,athletics,0,0,0,0
Maggie Steffens,USA,aquatics,1,0,0,1
Magnus Kirt,EST,athletics,0,0,0,0
Magnus Westermann,DEN,aquatics,0,0,0,0
Magomed Idrisovitch Ibragimov,UZB,wrestling,0,0,1,1
Magomed Musaev,KGZ,wrestling,0,0,0,0
Magomedmurad Gadzhiev,POL,wrestling,0,0,0,0
Maha Abdel Salam,EGY,aquatics,0,0,0,0
Maha Amer,EGY,aquatics,0,0,0,0
Maha Haddioui,MAR,golf,0,0,0,0
Mahama Cho,GBR,taekwondo,0,0,0,0
Mahaman Smaila,CMR,boxing,0,0,0,0
Mahammadrasul Majidov,AZE,boxing,0,0,0,0
Maharu Yoshimura,JPN,table tennis,0,1,0,1
Mahau Suguimati,BRA,athletics,0,0,0,0
Mahdi Kamil,IRQ,football,0,0,0,0
Mahdi Khodabakhshi,IRI,taekwondo,0,0,0,0
Mahdi Marandi,IRI,volleyball,0,0,0,0
Mahe Drysdale,NZL,rowing,1,0,0,1
Mahiedine Mekhissi,FRA,athletics,0,0,1,1
Mahlagha Jambozorg,IRI,shooting,0,0,0,0
Mahmood Haji,BRN,shooting,0,0,0,0
Mahmoud Abdelaal,EGY,boxing,0,0,0,0
Mahmoud Fawzy Rashad Sebie,EGY,wrestling,0,0,0,0
Mahmoud Khalil,EGY,handball,0,0,0,0
Mahmoud Samimi,IRI,athletics,0,0,0,0
Mahsa Javar,IRI,rowing,0,0,0,0
Mai Ito,JPN,athletics,0,0,0,0
Mai Murakami,JPN,gymnastics,0,0,0,0
Mai Nakamura,JPN,aquatics,0,0,1,1
Mai Yamaguchi,JPN,volleyball,0,0,0,0
Maia Agerup,NOR,sailing,0,0,0,0
Maialen Chourraut,ESP,canoe,1,0,0,1
Maica Garcia Godoy,ESP,aquatics,0,0,0,0
Maicel Uibo,EST,athletics,0,0,0,0
Maicol Verzotto,ITA,aquatics,0,0,0,0
Maicon Siqueira,BRA,taekwondo,0,0,1,1
Maik dos Santos,BRA,handball,0,0,0,0
Maikel van der Vleuten,NED,equestrian,0,0,0,0
Maila Machado,BRA,athletics,0,0,0,0
Maimouna Diarra,SEN,basketball,0,0,0,0
Mairaj Ahmad Khan,IND,shooting,0,0,0,0
Maizurah Abdul Rahim,BRU,athletics,0,0,0,0
Maja Mihalinec,SLO,athletics,0,0,0,0
Maja Neuenschwander,SUI,athletics,0,0,0,0
Maja Ognjenovic,SRB,volleyball,0,1,0,1
Maja Siegenthaler,SUI,sailing,0,0,0,0
Maja Wloszczowska,POL,cycling,0,1,0,1
Majd Eddin Ghazal,SYR,athletics,0,0,0,0
Majda Mehmedovic,MNE,handball,0,0,0,0
Majlinda Kelmendi,KOS,judo,1,0,0,1
Maka Unufe,USA,rugby sevens,0,0,0,0
Makenzie Fischer,USA,aquatics,1,0,0,1
Maki Sakaguchi,JPN,hockey,0,0,0,0
Maki Takada,JPN,basketball,0,0,0,0
Makiko Tomita,JPN,rugby sevens,0,0,0,0
Makoto Tomizawa,JPN,sailing,0,0,0,0
Makoura Keita,GUI,athletics,0,0,0,0
Makrem Missaoui,TUN,handball,0,0,0,0
Maksim Inic,MNE,aquatics,0,0,0,0
Maksim Manukyan,ARM,wrestling,0,0,0,0
Maksim Niastsiarenka,BLR,athletics,0,0,0,0
Maksim Oberemko,RUS,sailing,0,0,0,0
Maksym Averin,AZE,cycling,0,0,0,0
Maksym Dolgov,UKR,aquatics,0,0,0,0
Maksym Khvorost,UKR,fencing,0,0,0,0
Maksym Semiankiv,UKR,gymnastics,0,0,0,0
Malaika Mihambo,GER,athletics,0,0,0,0
Malek Jaziri,TUN,tennis,0,0,0,0
Malgorzata Bialecka,POL,sailing,0,0,0,0
Malgorzata Holub,POL,athletics,0,0,0,0
Malgorzata Kozaczuk,POL,fencing,0,0,0,0
Malgorzata Wojtyra,POL,cycling,0,0,0,0
Malgorzta Jasinska,POL,cycling,0,0,0,0
Malika Akkaoui,MAR,athletics,0,0,0,0
Malin Baryard-Johnsson,SWE,equestrian,0,0,0,0
Malin Johanna Mattsson,SWE,wrestling,0,0,0,0
Malin Westerheim,NOR,shooting,0,0,0,0
Malina Calugareanu,ROU,fencing,0,0,0,0
Mallory Pugh,USA,football,0,0,0,0
Malte Jakschik,GER,rowing,0,1,0,1
Malwina Kopron,POL,athletics,0,0,0,0
Mamadama Bangoura,GUI,judo,0,0,0,0
Mamadou Cherif Dia,MLI,athletics,0,0,0,0
Mamadou Kasse Hann,FRA,athletics,0,0,0,0
Mamdouh Abdelrehim,EGY,volleyball,0,0,0,0
Mamdouh Taha Abouebaid,EGY,handball,0,0,0,0
Mame Marie Sy,SEN,basketball,0,0,0,0
Mame-Ibra Anne,FRA,athletics,0,0,0,0
Mamed Ibragimov,KAZ,wrestling,0,0,0,0
Mamello Makhabane,RSA,football,0,0,0,0
Mami Umeki,JPN,judo,0,0,0,0
Mamina Kone,CIV,taekwondo,0,0,0,0
Mammadali Mehdiyev,AZE,judo,0,0,0,0
Mamoudou Eliman Hanne,FRA,athletics,0,0,0,0
Man Asaad,SYR,weightlifting,0,0,0,0
Man Sun,CHN,rowing,0,0,0,0
Man Wai Vivian Kong,HKG,fencing,0,0,0,0
Man Yang,CHN,football,0,0,0,0
Manami Doi,JPN,sailing,0,0,0,0
Manavjit Singh Sandhu,IND,shooting,0,0,0,0
Mandakhnaran Ganzorig,MGL,wrestling,0,0,0,0
Mandy Bujold,CAN,boxing,0,0,0,0
Mandy Islacker,GER,football,1,0,0,1
Mandy Mulder,NED,sailing,0,0,0,0
Mane,POR,football,0,0,0,0
Manel Terraza,ESP,hockey,0,0,0,0
Manfredi Rizza,ITA,canoe,0,0,0,0
Mangala Samarakoon,SRI,shooting,0,0,0,0
Manich Bech,DEN,football,0,0,0,0
Manika Batra,IND,table tennis,0,0,0,0
Manila Flamini,ITA,aquatics,0,0,0,0
Manish Singh,IND,athletics,0,0,0,0
Manoel Dall Igna,FRA,rugby sevens,0,0,0,0
Manoj Kumar,IND,boxing,0,0,0,0
Manon Brunet,FRA,fencing,0,0,0,0
Manon Hostens,FRA,canoe,0,0,0,0
Manon Houette,FRA,handball,0,1,0,1
Manon Valentino,FRA,cycling,0,0,0,0
Manpreet Kaur,IND,athletics,0,0,0,0
Manpreet Singh,IND,hockey,0,0,0,0
Manqi Ge,CHN,athletics,0,0,0,0
Manrique Larduet,CUB,gymnastics,0,0,0,0
Mantas Kalnietis,LTU,basketball,0,0,0,0
Manu Attri,IND,badminton,0,0,0,0
Manu Ginobili,ARG,basketball,0,0,0,0
Manuel Alexander Torres,VEN,wrestling,0,0,0,0
Manuel Brunet,ARG,hockey,1,0,0,1
Manuel Cappai,ITA,boxing,0,0,0,0
Manuel Esteban Soto,COL,athletics,0,0,0,0
Manuel Fernandez Saro,ESP,equestrian,0,0,0,0
Manuel Fumic,GER,cycling,0,0,0,0
Manuel Huerta,PUR,triathlon,0,0,0,0
Manuel Lajud,MEX,football,0,0,0,0
Manuel Lelo,ANG,sailing,0,0,0,0
Manuel Rodas Ochoa,GUA,cycling,0,0,0,0
Manuel Strlek,CRO,handball,0,0,0,0
Manuel Tavares de Almeida,BRA,equestrian,0,0,0,0
Manuela Pizzo,ARG,handball,0,0,0,0
Manuela Soccol,BEL,athletics,0,0,0,0
Manueli Tulo,FIJ,weightlifting,0,0,0,0
Manuella Lyrio,BRA,aquatics,0,0,0,0
Maor Tiyouri,ISR,athletics,0,0,0,0
Maoulida Daroueche,COM,athletics,0,0,0,0
Mara Abbott,USA,cycling,0,0,0,0
Marc Lopez,ESP,tennis,1,0,0,1
Marc Minguell Alferez,ESP,aquatics,0,0,0,0
Marc Mundell,RSA,athletics,0,0,0,0
Marc Odenthal,GER,judo,0,0,0,0
Marc Roca Barcelo,ESP,aquatics,0,0,0,0
Marc Salles,ESP,hockey,0,0,0,0
Marc Sanchez Torrens,ESP,aquatics,0,0,0,0
Marc Zwiebler,GER,badminton,0,0,0,0
Marc-Antoine Olivier,FRA,aquatics,0,0,1,1
Marcel Hacker,GER,rowing,0,0,0,0
Marcel Lomnicky,SVK,athletics,0,0,0,0
Marcel Nguyen,GER,gymnastics,0,0,0,0
Marcela Krinke Susmelj,SUI,equestrian,0,0,0,0
Marcela Maric,CRO,aquatics,0,0,0,0
Marcelinho Huertas,BRA,basketball,0,0,0,0
Marcello Miani,ITA,rowing,0,0,0,0
Marcelo Aguirre,PAR,table tennis,0,0,0,0
Marcelo Alberto Acosta Jimenez,ESA,aquatics,0,0,0,0
Marcelo Chierighini,BRA,aquatics,0,0,0,0
Marcelo Espinal,HON,football,0,0,0,0
Marcelo Melo,BRA,tennis,0,0,0,0
Marcelo Pereira,HON,football,0,0,0,0
Marcia Vidiaux,CUB,gymnastics,0,0,0,0
Marcin Brzezinski,POL,rowing,0,0,0,0
Marcin Krukowski,POL,athletics,0,0,0,0
Marcin Lewandowski,POL,athletics,0,0,0,0
Marcin Matkowski,POL,tennis,0,0,0,0
Marcin Pochwala,POL,canoe,0,0,0,0
Marcin Stolarski,POL,aquatics,0,0,0,0
Marcio Appel,BRA,equestrian,0,0,0,0
Marcio Carvalho Jorge,BRA,equestrian,0,0,0,0
Marcio Teles,BRA,athletics,0,0,0,0
Marco Antonio Rodriguez,BOL,athletics,0,0,0,0
Marco Aurelio Fontana,ITA,cycling,0,0,0,0
Marco Belotti,ITA,aquatics,0,0,0,0
Marco Bueno,MEX,football,0,0,0,0
Marco DI COSTANZO,ITA,rowing,0,0,1,1
Marco Fichera,ITA,fencing,0,1,0,1
Marco Galiazzo,ITA,archery,0,0,0,0
Marco Grael,BRA,sailing,0,0,0,0
Marco Grimalt,CHI,volleyball,0,0,0,0
Marco Innocenti,ITA,shooting,0,1,0,1
Marco Koch,GER,aquatics,0,0,0,0
Marco Lingua,ITA,athletics,0,0,0,0
Marco Orsi,ITA,aquatics,0,0,0,0
Marco de Luca,ITA,athletics,0,0,0,0
Marco de Nicolo,ITA,shooting,0,0,0,0
Marco del Lungo,ITA,aquatics,0,0,1,1
Marcos Delia,ARG,basketball,0,0,0,0
Marcos Freitas,POR,table tennis,0,0,0,0
Marcos Macedo,BRA,aquatics,0,0,0,0
Marcos Madrid,MEX,table tennis,0,0,0,0
Marcos Pasin,BRA,hockey,0,0,0,0
Marcos Poggi,ESP,rugby sevens,0,0,0,0
Marcos Pulido Rodriguez,MEX,canoe,0,0,0,0
Marcus Child,NZL,hockey,0,0,0,0
Marcus D'almeida,BRA,archery,0,0,0,0
Marcus Daniell,NZL,tennis,0,0,0,0
Marcus Duncan,TTO,athletics,0,0,0,0
Marcus Ellis,GBR,badminton,0,0,1,1
Marcus Fraser,AUS,golf,0,0,0,0
Marcus Gross,GER,canoe,2,0,0,2
Marcus Mepstead,GBR,fencing,0,0,0,0
Marcus Nyman,SWE,judo,0,0,0,0
Marcus Svensson,SWE,shooting,0,1,0,1
Marcus Vinicius Marquinhos,BRA,basketball,0,0,0,0
Marcus Walz,ESP,canoe,1,0,0,1
Marcus Watson,GBR,rugby sevens,0,1,0,1
Mare Dibaba,ETH,athletics,0,0,1,1
Mareen Kraeh,GER,judo,0,0,0,0
Mareike Adams,GER,rowing,0,0,0,0
Marek Sindler,CZE,canoe,0,0,0,0
Mareks Arents,LAT,athletics,0,0,0,0
Marestella Sunang,PHI,athletics,0,0,0,0
Maret Balkestein-Grothues,NED,volleyball,0,0,0,0
Margaret Adeoye,GBR,athletics,0,0,0,0
Margaret Bamgbose,NGR,athletics,0,0,0,0
Margaret Nyairera Wambui,KEN,athletics,0,0,1,1
Margarita Hernandez,MEX,athletics,0,0,0,0
Margarita Mamun,RUS,gymnastics,1,0,0,1
Margarita Mukasheva,KAZ,athletics,0,0,0,0
Margarita Yelisseyeva,KAZ,weightlifting,0,0,0,0
Margaux Chretien,FRA,aquatics,0,0,0,0
Margaux Fabre,FRA,aquatics,0,0,0,0
Margaux Isaksen,USA,modern pentathlon,0,0,0,0
Margherita Magnani,ITA,athletics,0,0,0,0
Margherita Panziera,ITA,aquatics,0,0,0,0
Margit Vanek,HUN,triathlon,0,0,0,0
Margot van Geffen,NED,hockey,0,1,0,1
Margret Hassan,SSD,athletics,0,0,0,0
Marharyta Makhneva,BLR,canoe,0,0,1,1
Marhinde Verkerk,NED,judo,0,0,0,0
Mari Molid,NOR,handball,0,0,1,1
Mari Rabie,RSA,triathlon,0,0,0,0
Maria Alexandra Escobar Guerrero,ECU,weightlifting,0,0,0,0
Maria Andrade,CPV,taekwondo,0,0,0,0
Maria Andrejczyk,POL,athletics,0,0,0,0
Maria Barrionuevo,ARG,hockey,0,0,0,0
Maria Belen Perez Maurice,ARG,fencing,0,0,0,0
Maria Belimpasaki,GRE,athletics,0,0,0,0
Maria Bernabeu,ESP,judo,0,0,0,0
Maria Bernard,CAN,athletics,0,0,0,0
Maria Borisova,RUS,aquatics,0,0,1,1
Maria Branz,ARG,sailing,0,0,0,0
Maria Bruno,BRA,aquatics,0,0,0,0
Maria Camila Lopera Valle,COL,rugby sevens,0,0,0,0
Maria Campoy,ARG,hockey,0,0,0,0
Maria Casado,ESP,rugby sevens,0,0,0,0
Maria Clara Lobo,BRA,aquatics,0,0,0,0
Maria Czakova,SVK,athletics,0,0,0,0
Maria Dolgikh,RUS,table tennis,0,0,0,0
Maria Eduarda Miccuci,BRA,aquatics,0,0,0,0
Maria Elena Calle,ECU,athletics,0,0,0,0
Maria Elisabetta Marconi,ITA,aquatics,0,0,0,0
Maria Enrica Spacca,ITA,athletics,0,0,0,0
Maria Erdi,HUN,sailing,0,0,0,0
Maria Far,PAN,aquatics,0,0,0,0
Maria Fernanda Valdes Paris,CHI,weightlifting,0,0,0,0
Maria Gabriela Diaz,ARG,cycling,0,0,0,0
Maria Galikova,SVK,athletics,0,0,0,0
Maria Granatto,ARG,hockey,0,0,0,0
Maria Guadalupe Gonzalez,MEX,athletics,0,1,0,1
Maria Guadalupe Sanchez,MEX,athletics,0,0,0,0
Maria Jose Acosta Acosta,VEN,wrestling,0,0,0,0
Maria Kadobina,BLR,gymnastics,0,0,0,0
Maria Kurjo,GER,aquatics,0,0,0,0
Maria Leonor Tavares,POR,athletics,0,0,0,0
Maria Lopez,ESP,hockey,0,0,0,0
Maria Lopez de Equilaz,ESP,hockey,0,0,0,0
Maria Michta-Coffey,USA,athletics,0,0,0,0
Maria Mollestad,NOR,sailing,0,0,0,0
Maria Mutio,ARG,hockey,0,0,0,0
Maria Natalia Londa,INA,athletics,0,0,0,0
Maria Ortiz,ARG,hockey,0,0,0,0
Maria Paseka,RUS,gymnastics,0,2,0,2
Maria Peralta,ARG,athletics,0,0,0,0
Maria Perez,PUR,judo,0,0,0,0
Maria Portela,BRA,judo,0,0,0,0
Maria Prevolaraki,GRE,wrestling,0,0,0,0
Maria Ribera,ESP,rugby sevens,0,0,0,0
Maria Romanjuk,EST,aquatics,0,0,0,0
Maria Ruiz,ESP,hockey,0,0,0,0
Maria Selmaier,GER,wrestling,0,0,0,0
Maria Springwald,POL,rowing,0,0,1,1
Maria Suelen Altheman,BRA,judo,0,0,0,0
Maria Tejerina Mackern,ARG,sailing,0,0,0,0
Maria Tolkacheva,RUS,gymnastics,1,0,0,1
Maria Ugolkova,SUI,aquatics,0,0,0,0
Maria Ulitina,UKR,badminton,0,0,0,0
Maria Verchenova,RUS,golf,0,0,0,0
Maria Verschoor,NED,hockey,0,1,0,1
Maria Vilas Vidal,ESP,aquatics,0,0,0,0
Maria Wierzbowska,POL,rowing,0,0,0,0
Maria del Mar Jover,ESP,athletics,0,0,0,0
Maria del Pilar Pena Carrasco,ESP,aquatics,0,0,0,0
Maria del Rosario Espinoza Espinoza,MEX,taekwondo,0,1,0,1
Mariabenedicta Chigbolu,ITA,athletics,0,0,0,0
Mariafe Artacho del Solar,AUS,volleyball,0,0,0,0
Mariah Williams,AUS,hockey,0,0,0,0
Mariajo Uribe,COL,golf,0,0,0,0
Mariam Kromah,LBR,athletics,0,0,0,0
Mariama Djoulde Sow,GUI,aquatics,0,0,0,0
Mariama Mamoudou,NIG,athletics,0,0,0,0
Marian Dragulescu,ROU,gymnastics,0,0,0,0
Marian Kovacocy,SVK,shooting,0,0,0,0
Marian Oprea,ROU,athletics,0,0,0,0
Marian Urdabayeva,KAZ,judo,0,0,0,0
Mariana Cherdivara Esanu,MDA,wrestling,0,0,0,0
Mariana Cress,MHL,athletics,0,0,0,0
Mariana Duarte,BRA,aquatics,0,0,0,0
Mariana Duque-Marino,COL,tennis,0,0,0,0
Mariana Foglia Costa,URU,sailing,0,0,0,0
Mariana Pajon,COL,cycling,1,0,0,1
Mariana Ramalho,BRA,rugby sevens,0,0,0,0
Mariana Sahakian,LIB,table tennis,0,0,0,0
Mariana Silva,BRA,judo,0,0,0,0
Mariangela Perrupato,ITA,aquatics,0,0,0,0
Marianna Sastin,HUN,wrestling,0,0,0,0
Marianna Tolo,AUS,basketball,0,0,0,0
Marianne Skarpnord,NOR,golf,0,0,0,0
Marianne Vos,NED,cycling,0,0,0,0
Mariano Canepa,ARG,handball,0,0,0,0
Mariano Mastromarino,ARG,athletics,0,0,0,0
Maricet Espinosa,CUB,judo,0,0,0,0
Marie Gayot,FRA,athletics,0,0,0,0
Marie Laura Meza,CRC,aquatics,0,0,0,0
Marie Laure Delie,FRA,football,0,0,0,0
Marie Le Nepvou,FRA,rowing,0,0,0,0
Marie Mavers,GER,hockey,0,0,1,1
Marie Prouvensier,FRA,handball,0,1,0,1
Marie Riou,FRA,sailing,0,0,0,0
Marie Wattel,FRA,aquatics,0,0,0,0
Marie Yamaguchi,JPN,rugby sevens,0,0,0,0
Marie-Catherine Arnold,GER,rowing,0,0,0,0
Marie-Eve Beauchemin-Nadeau,CAN,weightlifting,0,0,0,0
Marie-Eve Nault,CAN,football,0,0,0,0
Marie-Florence Candassamy,FRA,fencing,0,0,0,0
Marie-Josee Ta Lou,CIV,athletics,0,0,0,0
Marie-Laurence Jungfleisch,GER,athletics,0,0,0,0
Marie-Louise Drager,GER,rowing,0,0,0,0
Marie-Sadio Rosche,SEN,basketball,0,0,0,0
Marie-Zelia Lafont,FRA,canoe,0,0,0,0
Mariel Zagunis,USA,fencing,0,0,1,1
Marielle Amant,FRA,basketball,0,0,0,0
Marielle Hall,USA,athletics,0,0,0,0
Mariely Sanchez,DOM,athletics,0,0,0,0
Mariia Shorets,RUS,triathlon,0,0,0,0
Mariia Shurochkina,RUS,aquatics,1,0,0,1
Marija Jovanovic,MNE,handball,0,0,0,0
Marija Marovic,CRO,shooting,0,0,0,0
Marija Vrajic,CRO,athletics,0,0,0,0
Marije van Hunenstijn,NED,athletics,0,0,0,0
Marika Popowicz-Drapala,POL,athletics,0,0,0,0
Marilson dos Santos,BRA,athletics,0,0,0,0
Marily dos Santos,BRA,athletics,0,0,0,0
Marin Cilic,CRO,tennis,0,0,0,0
Marin Draganja,CRO,tennis,0,0,0,0
Marina Aframeeva,RUS,equestrian,0,0,0,0
Marina Alabau Neira,ESP,sailing,0,0,0,0
Marina Arzamasova,BLR,athletics,0,0,0,0
Marina Bravo,ESP,rugby sevens,0,0,0,0
Marina Canetta,BRA,archery,0,0,0,0
Marina Canetti,BRA,aquatics,0,0,0,0
Marina Durunda,AZE,gymnastics,0,0,0,0
Marina Hmelevskaya,UZB,athletics,0,0,0,0
Marina Marghieva-Nikisenko,MDA,athletics,0,0,0,0
Marina Rajcic,MNE,handball,0,0,0,0
Marina Sudakova,RUS,handball,1,0,0,1
Marina Toribiong,PLW,canoe,0,0,0,0
Marina Zablith,BRA,aquatics,0,0,0,0
Marina de la Caridad Rodriguez Mitjan,CUB,weightlifting,0,0,0,0
Marine Boyer,FRA,gymnastics,0,0,0,0
Marine Brevet,FRA,gymnastics,0,0,0,0
Marine Johannes,FRA,basketball,0,0,0,0
Marine Jurbert,FRA,gymnastics,0,0,0,0
Mario Alfonso Bran,GUA,athletics,0,0,0,0
Mario Fernandez,ESP,hockey,0,0,0,0
Mario Gyr,SUI,rowing,1,0,0,1
Mario Hezonja,CRO,basketball,0,0,0,0
Mario Jose dos Santos Jr,BRA,athletics,0,0,0,0
Mario Leitner,AUT,canoe,0,0,0,0
Mario Luis Rivera Sanchez,CUB,volleyball,0,0,0,0
Mario Mola,ESP,triathlon,0,0,0,0
Mario Paonessa,ITA,rowing,0,0,0,0
Mario Todorovic,CRO,aquatics,0,0,0,0
Marion Lepert,USA,sailing,0,0,0,0
Marios Georgiou,CYP,gymnastics,0,0,0,0
Maris Strombergs,LAT,cycling,0,0,0,0
Marisa Dick,TTO,gymnastics,0,0,0,0
Marisa Lavanchy,SUI,athletics,0,0,0,0
Marisol Carratu,ARG,handball,0,0,0,0
Marisol Romero,MEX,athletics,0,0,0,0
Marissa Kurtimah,CAN,athletics,0,0,0,0
Marit Bouwmeester,NED,sailing,1,0,0,1
Marit Malm Frafjord,NOR,handball,0,0,1,1
Maritza Guaman,ECU,athletics,0,0,0,0
Maritza Poncio,GUA,athletics,0,0,0,0
Marius Cocioran,ROU,athletics,0,0,0,0
Marius Cozmiuc,ROU,rowing,0,0,0,0
Marius Grigonis,LTU,basketball,0,0,0,0
Marius Ionescu,ROU,athletics,0,0,0,0
Marius Radu,ROU,aquatics,0,0,0,0
Marius Savelskis,LTU,athletics,0,0,0,0
Marius Ziukas,LTU,athletics,0,0,0,0
Mariusz Jurkiewicz,POL,handball,0,0,0,0
Mariusz Prudel,POL,volleyball,0,0,0,0
Mariya Dmitriyenko,KAZ,shooting,0,0,0,0
Mariya Korobitskaya,KGZ,athletics,0,0,0,0
Mariya Koroleva,USA,aquatics,0,0,0,0
Mariya Povkh,UKR,canoe,0,0,0,0
Mariya Ryemyen,UKR,athletics,0,0,0,0
Mariya Shatalova,UKR,athletics,0,0,0,0
Mariya Stadnik,AZE,wrestling,0,1,0,1
Mariya Telushkina,KAZ,athletics,0,0,0,0
Marjorie Mayans,FRA,rugby sevens,0,0,0,0
Marjory Nyaumwe,ZIM,football,0,0,0,0
Mark Aldred,GBR,rowing,0,0,0,0
Mark Bennett,GBR,rugby sevens,0,1,0,1
Mark Cavendish,GBR,cycling,0,1,0,1
Mark Dry,GBR,athletics,0,0,0,0
Mark English,IRL,athletics,0,0,0,0
Mark Gleghorne,GBR,hockey,0,0,0,0
Mark Knowles,AUS,hockey,0,0,0,0
Mark Kyle,IRL,equestrian,0,0,0,0
Mark Oldershaw,CAN,canoe,0,0,0,0
Mark Overgaard Madsen,DEN,wrestling,0,1,0,1
Mark Papp,HUN,aquatics,0,0,0,0
Mark Pearson,CAN,hockey,0,0,0,0
Mark Robertson,GBR,rugby sevens,0,1,0,1
Mark Todd,NZL,equestrian,0,0,0,0
Mark de Jonge,CAN,canoe,0,0,0,0
Markel Alberdi Sarobe,ESP,aquatics,0,0,0,0
Marketa Slukova,CZE,volleyball,0,0,0,0
Marko Arapovic,CRO,basketball,0,0,0,0
Marko Bagaric,QAT,handball,0,0,0,0
Marko Bezjak,SLO,handball,0,0,0,0
Marko Bijac,CRO,aquatics,0,1,0,1
Marko Blazhevski,MKD,aquatics,0,0,0,0
Marko Carrillo,PER,shooting,0,0,0,0
Marko Kopljar,CRO,handball,0,0,0,0
Marko Macan,CRO,aquatics,0,1,0,1
Marko Mamic,CRO,handball,0,0,0,0
Marko Marjanovic,SRB,rowing,0,0,0,0
Marko Novakovic,SRB,canoe,0,0,0,0
Marko Simonovic,SRB,basketball,0,1,0,1
Marko Tomicevic,SRB,canoe,0,1,0,1
Markus Bockermann,GER,volleyball,0,0,0,0
Markus Thormeyer,CAN,aquatics,0,0,0,0
Marleen van Iersel,NED,volleyball,0,0,0,0
Marlene Steinherr,GER,sailing,0,0,0,0
Marlies Mejias Garcia,CUB,cycling,0,0,0,0
Marlo Javier Delgado,ECU,boxing,0,0,0,0
Marloes Keetels,NED,hockey,0,1,0,1
Marlon Acacio,MOZ,judo,0,0,0,0
Maro Jokovic,CRO,aquatics,0,1,0,1
Marouan Chouiref,TUN,handball,0,0,0,0
Marouen Maggaiz,TUN,handball,0,0,0,0
Maroussia Pare,FRA,athletics,0,0,0,0
Marquinhos,BRA,football,1,0,0,1
Marrit Steenbergen,NED,aquatics,0,0,0,0
Mart Seim,EST,weightlifting,0,0,0,0
Marta,BRA,football,0,0,0,0
Marta Bach Pascual,ESP,aquatics,0,0,0,0
Marta Baeza Centurion,BRA,fencing,0,0,0,0
Marta Gonzalez Crivillers,ESP,aquatics,0,0,0,0
Marta Kharitonova,RUS,canoe,0,0,0,0
Marta Lopez,ESP,handball,0,0,0,0
Marta Mangue,ESP,handball,0,0,0,0
Marta Menegatti,ITA,volleyball,0,0,0,0
Marta Milani,ITA,athletics,0,0,0,0
Marta Onofre,POR,athletics,0,0,0,0
